,accuracy,precision,f1,recall,aupr,auc
local_dm_pnet_0,0.8823529411764706,0.7894736842105263,0.8333333333333333,0.8823529411764706,0.9082105437644646,0.9498269896193772
local_dm_pnet_1,0.8921568627450981,0.8108108108108109,0.8450704225352113,0.8823529411764706,0.9028310740601139,0.948961937716263
local_dm_pnet_2,0.8823529411764706,0.8055555555555556,0.8285714285714286,0.8529411764705882,0.9038408595815933,0.9476643598615917
local_dm_pnet_3,0.8725490196078431,0.7692307692307693,0.8219178082191781,0.8823529411764706,0.9028034463833845,0.9455017301038062
local_dm_pnet_4,0.8823529411764706,0.8055555555555556,0.8285714285714286,0.8529411764705882,0.9055616793888794,0.9472318339100345
local_dm_pnet_5,0.8823529411764706,0.7894736842105263,0.8333333333333333,0.8823529411764706,0.9070126068096483,0.94939446366782
local_dm_pnet_6,0.8823529411764706,0.7894736842105263,0.8333333333333333,0.8823529411764706,0.8997379376710117,0.9437716262975779
local_dm_pnet_7,0.8921568627450981,0.8108108108108109,0.8450704225352113,0.8823529411764706,0.9030476922844097,0.9498269896193772
local_dm_pnet_8,0.8725490196078431,0.7837837837837838,0.8169014084507041,0.8529411764705882,0.9030963548363786,0.9476643598615917
local_dm_pnet_9,0.8823529411764706,0.8055555555555556,0.8285714285714286,0.8529411764705882,0.9042451550817503,0.9480968858131488
local_dm_pnet_10,0.8921568627450981,0.8108108108108109,0.8450704225352113,0.8823529411764706,0.9047352465958522,0.9472318339100345
local_dm_pnet_11,0.8823529411764706,0.8055555555555556,0.8285714285714286,0.8529411764705882,0.9063915428070053,0.9506920415224913
local_dm_pnet_12,0.8627450980392157,0.7631578947368421,0.8055555555555555,0.8529411764705882,0.9011528567548303,0.9467993079584776
local_dm_pnet_13,0.8921568627450981,0.8108108108108109,0.8450704225352113,0.8823529411764706,0.9016901497084977,0.9467993079584776
local_dm_pnet_14,0.8921568627450981,0.8285714285714286,0.8405797101449276,0.8529411764705882,0.910139345769706,0.9528546712802768
local_dm_pnet_15,0.8725490196078431,0.8,0.8115942028985507,0.8235294117647058,0.8986243634281637,0.9450692041522492
local_dm_pnet_16,0.8921568627450981,0.8108108108108109,0.8450704225352113,0.8823529411764706,0.8992420117468538,0.9442041522491349
local_dm_pnet_17,0.8921568627450981,0.8108108108108109,0.8450704225352113,0.8823529411764706,0.9032657671620817,0.9498269896193772
local_dm_pnet_18,0.8921568627450981,0.8108108108108109,0.8450704225352113,0.8823529411764706,0.9028939400024225,0.9476643598615917
local_dm_pnet_19,0.8725490196078431,0.8,0.8115942028985507,0.8235294117647058,0.8997839696154006,0.9442041522491349
global_dm_pnet_0,0.8529411764705882,0.8064516129032258,0.7692307692307693,0.7352941176470589,0.831287111869253,0.8884083044982698
global_dm_pnet_1,0.8529411764705882,0.8275862068965517,0.7619047619047619,0.7058823529411765,0.8613440183236132,0.9126297577854672
global_dm_pnet_2,0.8921568627450981,0.896551724137931,0.8253968253968255,0.7647058823529411,0.8592734329543584,0.9126297577854672
global_dm_pnet_3,0.8627450980392157,0.8333333333333334,0.78125,0.7352941176470589,0.8637852457685533,0.9178200692041523
global_dm_pnet_4,0.8627450980392157,0.8571428571428571,0.7741935483870968,0.7058823529411765,0.8343820566164317,0.8901384083044983
global_dm_pnet_5,0.8529411764705882,0.8064516129032258,0.7692307692307693,0.7352941176470589,0.8455348907603838,0.9035467128027681
global_dm_pnet_6,0.8725490196078431,0.8620689655172413,0.7936507936507937,0.7352941176470589,0.8511208733148379,0.907871972318339
global_dm_pnet_7,0.8431372549019608,0.8,0.7500000000000001,0.7058823529411765,0.8453679682110526,0.9104671280276816
global_dm_pnet_8,0.8627450980392157,0.8571428571428571,0.7741935483870968,0.7058823529411765,0.8445070702314216,0.8979238754325259
global_dm_pnet_9,0.8823529411764706,0.84375,0.8181818181818182,0.7941176470588235,0.8813996668560513,0.9230103806228375
global_dm_pnet_10,0.8431372549019608,0.8,0.7500000000000001,0.7058823529411765,0.8521545313628656,0.907871972318339
global_dm_pnet_11,0.8627450980392157,0.8571428571428571,0.7741935483870968,0.7058823529411765,0.8481402409211349,0.9044117647058824
global_dm_pnet_12,0.8725490196078431,0.8620689655172413,0.7936507936507937,0.7352941176470589,0.8537397032182356,0.9083044982698961
global_dm_pnet_13,0.8431372549019608,0.8,0.7500000000000001,0.7058823529411765,0.829367912506515,0.8940311418685122
global_dm_pnet_14,0.8725490196078431,0.8387096774193549,0.7999999999999999,0.7647058823529411,0.8518324211813578,0.9087370242214533
global_dm_pnet_15,0.8627450980392157,0.8571428571428571,0.7741935483870968,0.7058823529411765,0.8595230634117114,0.9087370242214532
global_dm_pnet_16,0.8627450980392157,0.8125,0.787878787878788,0.7647058823529411,0.8473812302464788,0.8979238754325259
global_dm_pnet_17,0.8529411764705882,0.8275862068965517,0.7619047619047619,0.7058823529411765,0.8470808348530217,0.9100346020761245
global_dm_pnet_18,0.8725490196078431,0.8387096774193549,0.7999999999999999,0.7647058823529411,0.838415323868549,0.8953287197231834
global_dm_pnet_19,0.8823529411764706,0.8666666666666667,0.8125,0.7647058823529411,0.8466125592943139,0.9091695501730104
