2023-08-06 13:05:05 - INFO: - {'accuracy': 0.8921568627450981, 'precision': 0.8108108108108109, 'f1': 0.8450704225352113, 'recall': 0.8823529411764706, 'aupr': 0.9027951296432897, 'auc': 0.9467993079584776}
2023-08-06 13:14:30 - INFO: - {'accuracy': 0.8823529411764706, 'precision': 0.8055555555555556, 'f1': 0.8285714285714286, 'recall': 0.8529411764705882, 'aupr': 0.908567740794786, 'auc': 0.9506920415224913}
2023-08-06 13:24:01 - INFO: - {'accuracy': 0.8921568627450981, 'precision': 0.8108108108108109, 'f1': 0.8450704225352113, 'recall': 0.8823529411764706, 'aupr': 0.9051814833379629, 'auc': 0.9502595155709342}
2023-08-06 13:33:16 - INFO: - {'accuracy': 0.8823529411764706, 'precision': 0.7894736842105263, 'f1': 0.8333333333333333, 'recall': 0.8823529411764706, 'aupr': 0.9080660676336612, 'auc': 0.9502595155709342}
2023-08-06 13:42:30 - INFO: - {'accuracy': 0.8823529411764706, 'precision': 0.8055555555555556, 'f1': 0.8285714285714286, 'recall': 0.8529411764705882, 'aupr': 0.9051416903692032, 'auc': 0.9467993079584776}
2023-08-06 13:49:58 - INFO: - {'accuracy': 0.8235294117647058, 'precision': 0.75, 'f1': 0.7272727272727272, 'recall': 0.7058823529411765, 'aupr': 0.8686926569930163, 'auc': 0.9307958477508651}
2023-08-06 13:56:43 - INFO: - {'accuracy': 0.8235294117647058, 'precision': 0.75, 'f1': 0.7272727272727272, 'recall': 0.7058823529411765, 'aupr': 0.8569041499536161, 'auc': 0.9247404844290658}
2023-08-06 14:03:37 - INFO: - {'accuracy': 0.8235294117647058, 'precision': 0.75, 'f1': 0.7272727272727272, 'recall': 0.7058823529411765, 'aupr': 0.8688666801377601, 'auc': 0.9286332179930795}
2023-08-06 14:10:34 - INFO: - {'accuracy': 0.8333333333333334, 'precision': 0.7575757575757576, 'f1': 0.746268656716418, 'recall': 0.7352941176470589, 'aupr': 0.8629506164362307, 'auc': 0.9225778546712802}
2023-08-06 14:17:47 - INFO: - {'accuracy': 0.8431372549019608, 'precision': 0.78125, 'f1': 0.7575757575757576, 'recall': 0.7352941176470589, 'aupr': 0.8612881020037908, 'auc': 0.9282006920415224}
2023-08-06 14:23:19 - INFO: - {'accuracy': 0.8431372549019608, 'precision': 0.78125, 'f1': 0.7575757575757576, 'recall': 0.7352941176470589, 'aupr': 0.838014940275547, 'auc': 0.9277681660899655}
